,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.5,0.0003650967506389193,0.0,0.0,0.0
after_task1,1.0,0.9995238945426412,0.0,0.0004867956675185591,0.0,0.00017078252553198758,0.873414865291755
after_task2,1.0,0.9991370588585372,0.9166666666666666,0.0007301935012778386,0.0,0.00017078252553198758,0.9290130421047881
after_task3,1.0,0.9993751115872166,0.9166666666666666,0.9979919678714859,0.0,0.9943300201523381,0.9825353129653865
after_task4,1.0,0.9986014402190085,0.9166666666666666,0.9967141292442497,1.0,0.9909485261468046,0.9601516313913083
after_task5,1.0,0.9991370588585372,0.9166666666666666,0.9967749787026895,1.0,0.9990094613519145,0.9804142786226815
after_task6,1.0,0.9993453549961316,0.9166666666666666,0.9965315808689302,1.0,0.9991119308672337,1.0
