model,ip_mode,after_task,after_task_category,scope,metric,value
gnn_ewc_replay,permute,0,BruteForce,task5,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,detection_rate,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,binary_f1,0.0
gnn_ewc_replay,permute,0,BruteForce,task5,category_recall,0.0
gnn_ewc_replay,permute,0,BruteForce,seen,n,175000.0
gnn_ewc_replay,permute,0,BruteForce,seen,n_benign,172109.0
gnn_ewc_replay,permute,0,BruteForce,seen,n_attack,2891.0
gnn_ewc_replay,permute,0,BruteForce,seen,accuracy,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,macro_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,fpr,0.0
gnn_ewc_replay,permute,0,BruteForce,seen,detection_rate,1.0
gnn_ewc_replay,permute,0,BruteForce,seen,binary_f1,1.0
gnn_ewc_replay,permute,0,BruteForce,all,n,1895000.0
gnn_ewc_replay,permute,0,BruteForce,all,n_benign,1791772.0
gnn_ewc_replay,permute,0,BruteForce,all,n_attack,103228.0
gnn_ewc_replay,permute,0,BruteForce,all,accuracy,0.9470501319261214
gnn_ewc_replay,permute,0,BruteForce,all,macro_f1,0.15491810780763232
gnn_ewc_replay,permute,0,BruteForce,all,fpr,1.6743201702002264e-06
gnn_ewc_replay,permute,0,BruteForce,all,detection_rate,0.5476905490758321
gnn_ewc_replay,permute,0,BruteForce,all,binary_f1,0.7077387211456612
gnn_ewc_replay,random_src,0,BruteForce,task0,n,175000.0
gnn_ewc_replay,random_src,0,BruteForce,task0,n_benign,172109.0
gnn_ewc_replay,random_src,0,BruteForce,task0,n_attack,2891.0
gnn_ewc_replay,random_src,0,BruteForce,task0,accuracy,0.9994628571428571
gnn_ewc_replay,random_src,0,BruteForce,task0,macro_f1,0.991815490405864
gnn_ewc_replay,random_src,0,BruteForce,task0,fpr,0.00044158062623105124
gnn_ewc_replay,random_src,0,BruteForce,task0,detection_rate,0.9937737806987201
gnn_ewc_replay,random_src,0,BruteForce,task0,binary_f1,0.9839041095890411
gnn_ewc_replay,random_src,0,BruteForce,task0,category_recall,0.9937737806987201
gnn_ewc_replay,random_src,0,BruteForce,task1,n,385000.0
gnn_ewc_replay,random_src,0,BruteForce,task1,n_benign,331373.0
gnn_ewc_replay,random_src,0,BruteForce,task1,n_attack,53627.0
gnn_ewc_replay,random_src,0,BruteForce,task1,accuracy,0.8603012987012987
gnn_ewc_replay,random_src,0,BruteForce,task1,macro_f1,0.4849059808038041
gnn_ewc_replay,random_src,0,BruteForce,task1,fpr,0.00047378633745054664
gnn_ewc_replay,random_src,0,BruteForce,task1,detection_rate,0.6184198258340016
gnn_ewc_replay,random_src,0,BruteForce,task1,binary_f1,0.7628467589823803
gnn_ewc_replay,random_src,0,BruteForce,task1,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n,480000.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n_benign,439090.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n_attack,40910.0
gnn_ewc_replay,random_src,0,BruteForce,task2,accuracy,0.9142708333333334
gnn_ewc_replay,random_src,0,BruteForce,task2,macro_f1,0.3184052529429903
gnn_ewc_replay,random_src,0,BruteForce,task2,fpr,0.0005465849825776037
gnn_ewc_replay,random_src,0,BruteForce,task2,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n,270000.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n_benign,269993.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n_attack,7.0
gnn_ewc_replay,random_src,0,BruteForce,task3,accuracy,0.9996481481481482
gnn_ewc_replay,random_src,0,BruteForce,task3,macro_f1,0.4999120215593484
gnn_ewc_replay,random_src,0,BruteForce,task3,fpr,0.0003259343760764168
gnn_ewc_replay,random_src,0,BruteForce,task3,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n,395000.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n_benign,393444.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n_attack,1556.0
gnn_ewc_replay,random_src,0,BruteForce,task4,accuracy,0.9955139240506329
gnn_ewc_replay,random_src,0,BruteForce,task4,macro_f1,0.4988759597476872
gnn_ewc_replay,random_src,0,BruteForce,task4,fpr,0.0005489980785067252
gnn_ewc_replay,random_src,0,BruteForce,task4,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n,190000.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n_benign,185763.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n_attack,4237.0
gnn_ewc_replay,random_src,0,BruteForce,task5,accuracy,0.9771526315789474
gnn_ewc_replay,random_src,0,BruteForce,task5,macro_f1,0.49422215360206995
gnn_ewc_replay,random_src,0,BruteForce,task5,fpr,0.0005598531462131856
gnn_ewc_replay,random_src,0,BruteForce,task5,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n,175000.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n_benign,172109.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n_attack,2891.0
gnn_ewc_replay,random_src,0,BruteForce,seen,accuracy,0.9994628571428571
gnn_ewc_replay,random_src,0,BruteForce,seen,macro_f1,0.991815490405864
gnn_ewc_replay,random_src,0,BruteForce,seen,fpr,0.00044158062623105124
gnn_ewc_replay,random_src,0,BruteForce,seen,detection_rate,0.9937737806987201
gnn_ewc_replay,random_src,0,BruteForce,seen,binary_f1,0.9839041095890411
gnn_ewc_replay,random_src,0,BruteForce,all,n,1895000.0
gnn_ewc_replay,random_src,0,BruteForce,all,n_benign,1791772.0
gnn_ewc_replay,random_src,0,BruteForce,all,n_attack,103228.0
gnn_ewc_replay,random_src,0,BruteForce,all,accuracy,0.946577308707124
gnn_ewc_replay,random_src,0,BruteForce,all,macro_f1,0.16081265867662323
gnn_ewc_replay,random_src,0,BruteForce,all,fpr,0.0004916920233154665
gnn_ewc_replay,random_src,0,BruteForce,all,detection_rate,0.34910101910334407
gnn_ewc_replay,random_src,0,BruteForce,all,binary_f1,0.5142779672627117
gnn_ewc_replay,none,1,DoS,task0,n,175000.0
gnn_ewc_replay,none,1,DoS,task0,n_benign,172109.0
gnn_ewc_replay,none,1,DoS,task0,n_attack,2891.0
gnn_ewc_replay,none,1,DoS,task0,accuracy,1.0
gnn_ewc_replay,none,1,DoS,task0,macro_f1,1.0
gnn_ewc_replay,none,1,DoS,task0,fpr,0.0
gnn_ewc_replay,none,1,DoS,task0,detection_rate,1.0
gnn_ewc_replay,none,1,DoS,task0,binary_f1,1.0
gnn_ewc_replay,none,1,DoS,task0,category_recall,1.0
gnn_ewc_replay,none,1,DoS,task1,n,385000.0
gnn_ewc_replay,none,1,DoS,task1,n_benign,331373.0
gnn_ewc_replay,none,1,DoS,task1,n_attack,53627.0
gnn_ewc_replay,none,1,DoS,task1,accuracy,0.9997272727272727
gnn_ewc_replay,none,1,DoS,task1,macro_f1,0.9994308871096019
gnn_ewc_replay,none,1,DoS,task1,fpr,2.1124231606075328e-05
gnn_ewc_replay,none,1,DoS,task1,detection_rate,0.9981725623286777
gnn_ewc_replay,none,1,DoS,task1,binary_f1,0.9990201842053694
gnn_ewc_replay,none,1,DoS,task1,category_recall,0.9981725623286777
gnn_ewc_replay,none,1,DoS,task2,n,480000.0
gnn_ewc_replay,none,1,DoS,task2,n_benign,439090.0
gnn_ewc_replay,none,1,DoS,task2,n_attack,40910.0
gnn_ewc_replay,none,1,DoS,task2,accuracy,0.91476875
