,task0_BruteForce,task1_DoS,task2_DDoS,task3_WebAttack,task4_Infiltration,task5_Botnet
after_task0,0.9937737806987201,0.0,0.0,0.0,0.0,0.0
after_task1,0.0,0.99183247244858,0.0,0.0,0.0,0.0
after_task2,0.0,0.0,0.9853077788099546,0.42857142857142855,0.0,0.0
after_task3,0.0,0.0,0.3465750745611891,1.0,0.0,0.0
after_task4,0.0,0.0,0.0,0.0,0.004498714652956298,0.0
after_task5,0.0,0.0,0.0,0.0,0.0,0.9414680198253481
