,task0_BruteForce,task1_DoS,task2_DDoS,task3_WebAttack,task4_Infiltration,task5_Botnet
after_task0,0.9937737806987201,0.0,0.0,0.0,0.0,0.0
after_task1,0.9522656520235213,0.9868163425140322,0.0,0.0,0.0,0.0
after_task2,0.961604980975441,0.9950398120349824,0.9832053977411627,0.42857142857142855,0.0,0.0
after_task3,0.9460394327222414,0.99321237436366,0.9875568376277318,0.8571428571428571,0.0,0.0
after_task4,0.9522656520235213,0.9912544054301005,0.9838898939030949,0.8571428571428571,0.0,0.0
after_task5,0.9332410930473884,0.9832360564640946,0.9713978389478316,0.42857142857142855,0.0,0.9258909605853198
