,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998746945680095,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9998746945680095,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9998746945680095,1.0,0.999713384924047,0.0,0.0,0.0
after_task4,1.0,0.9998746945680095,1.0,0.999713384924047,0.9647058823529412,0.0,0.0
after_task5,1.0,0.9998746945680095,1.0,0.999713384924047,0.9647058823529412,1.0,0.0
after_task6,1.0,0.9998746945680095,0.0,0.998280309544282,0.0,1.0,1.0
