,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998746945680095,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9997493891360191,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9994361255560429,1.0,0.99713384924047,0.0,0.0,0.0
after_task4,1.0,0.9994361255560429,1.0,0.996847234164517,1.0,0.0,0.0
after_task5,1.0,0.9991855146920618,1.0,0.73445113212955,1.0,0.9992463393626184,0.0
after_task6,1.0,0.9991228619760667,1.0,0.9670392662654056,1.0,0.8669250645994832,1.0
