model,ip_mode,after_task,after_task_category,scope,metric,value
xgboost_static,none,1,DoS,task1,n_attack,33606.0
xgboost_static,none,1,DoS,task1,accuracy,0.66393
xgboost_static,none,1,DoS,task1,macro_f1,0.3990131796409705
xgboost_static,none,1,DoS,task1,fpr,1.5061601951983614e-05
xgboost_static,none,1,DoS,task1,detection_rate,0.0
xgboost_static,none,1,DoS,task1,binary_f1,0.0
xgboost_static,none,1,DoS,task1,category_recall,0.0
xgboost_static,none,1,DoS,task2,n,25000.0
xgboost_static,none,1,DoS,task2,n_benign,24976.0
xgboost_static,none,1,DoS,task2,n_attack,24.0
xgboost_static,none,1,DoS,task2,accuracy,0.99904
xgboost_static,none,1,DoS,task2,macro_f1,0.4997598847446774
xgboost_static,none,1,DoS,task2,fpr,0.0
xgboost_static,none,1,DoS,task2,detection_rate,0.0
xgboost_static,none,1,DoS,task2,binary_f1,0.0
xgboost_static,none,1,DoS,task2,category_recall,0.0
xgboost_static,none,1,DoS,task3,n,45000.0
xgboost_static,none,1,DoS,task3,n_benign,28566.0
xgboost_static,none,1,DoS,task3,n_attack,16434.0
xgboost_static,none,1,DoS,task3,accuracy,0.6351555555555556
xgboost_static,none,1,DoS,task3,macro_f1,0.3897070494381054
xgboost_static,none,1,DoS,task3,fpr,0.0002100399075824
xgboost_static,none,1,DoS,task3,detection_rate,0.001338688085676
xgboost_static,none,1,DoS,task3,binary_f1,0.0026728222573198
xgboost_static,none,1,DoS,task3,category_recall,0.001338688085676
xgboost_static,none,1,DoS,task4,n,27642.0
xgboost_static,none,1,DoS,task4,n_benign,27569.0
xgboost_static,none,1,DoS,task4,n_attack,73.0
xgboost_static,none,1,DoS,task4,accuracy,0.9973590912379712
xgboost_static,none,1,DoS,task4,macro_f1,0.4993388998569126
xgboost_static,none,1,DoS,task4,fpr,0.0
xgboost_static,none,1,DoS,task4,detection_rate,0.0
xgboost_static,none,1,DoS,task4,binary_f1,0.0
xgboost_static,none,1,DoS,task4,category_recall,0.0
xgboost_static,none,1,DoS,task5,n,55000.0
xgboost_static,none,1,DoS,task5,n_benign,25723.0
xgboost_static,none,1,DoS,task5,n_attack,29277.0
xgboost_static,none,1,DoS,task5,accuracy,0.4676727272727273
xgboost_static,none,1,DoS,task5,macro_f1,0.3186491910507668
xgboost_static,none,1,DoS,task5,fpr,3.8875714341251024e-05
xgboost_static,none,1,DoS,task5,detection_rate,0.0
xgboost_static,none,1,DoS,task5,binary_f1,0.0
xgboost_static,none,1,DoS,task5,category_recall,0.0
