,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0003650967506389193,0.0,0.0,0.0
after_task1,1.0,0.9995536511337261,0.0,0.00012169891687963977,0.0,0.00017078252553198758,0.8182679723814251
after_task2,1.0,0.999583407724811,0.9166666666666666,6.0849458439819885e-05,0.0,0.00017078252553198758,0.8457511620560495
after_task3,1.0,0.9998512170445754,0.9166666666666666,0.9988438602896434,0.0,0.99364689005021,0.9061780766280066
after_task4,1.0,0.9994346247693864,0.9166666666666666,0.9986004624558842,1.0,0.9859275198961642,1.0
after_task5,1.0,0.9993453549961316,0.9166666666666666,0.9987830108312036,1.0,0.9991802438774464,0.9975179385351325
after_task6,1.0,0.9994346247693864,0.9166666666666666,0.9984787635390046,1.0,0.9996242784438296,1.0
