,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9996330020432858,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9996330020432859,0.9444444444444445,0.0,0.0,0.0,0.0
after_task3,1.0,0.9994147870419964,0.9444444444444443,0.9988641434424567,0.0,0.0,0.0
after_task4,0.9997395833333332,0.9987204665833481,0.9166666666666666,0.9989858423593363,1.0,0.0,0.0
after_task5,0.9997395833333332,0.9992362474954869,0.9166666666666666,0.9052573932092004,1.0,0.9612095957008345,0.0
after_task6,1.0,0.999186653177012,0.9166666666666666,0.9098008194393735,1.0,0.9595700834557276,1.0
