,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9987006288559582,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9988990061298577,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9999008113630502,0.9583333333333334,0.9990669749705895,0.0,0.0,0.0
after_task4,1.0,0.998412981808804,0.9583333333333334,0.9780739118088516,0.8493150684931506,0.0,0.0
after_task5,1.0,0.9999008113630502,0.9583333333333334,0.9588049166362419,0.9634703196347032,0.9999772289965957,0.0
after_task6,1.0,0.9491658235632525,0.9583333333333334,0.9586832177193623,0.8538812785388128,0.9999430724914893,1.0
