,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9993651927235215,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9913904263127616,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9995536511337262,0.9583333333333334,0.9994117885684152,0.0,0.0,0.0
after_task4,1.0,0.8994723164514272,0.9583333333333334,0.9778710802807189,0.9178082191780822,0.0,0.0
after_task5,1.0,0.9390188260032931,0.9583333333333334,0.9794531662001541,0.954337899543379,0.9999886144982978,0.0
after_task6,1.0,0.8859727429625662,0.9305555555555555,0.9576487769258852,0.8995433789954337,0.9998747594812766,1.0
