,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9994842190878613,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9999305679541352,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,1.0,0.9861111111111112,0.9356009898178573,0.0,0.0,0.0
after_task4,1.0,1.0,0.9861111111111112,0.9356618392762971,0.7397260273972602,0.0,0.0
after_task5,1.0,0.9932750104148069,0.9861111111111112,0.9569185834246076,0.9041095890410958,0.9999772289965957,0.0
after_task6,1.0,1.0,1.0,0.9589874650115613,0.9041095890410958,1.0,1.0
