,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.33437500000000003,0.9996528397706759,0.0,0.0,0.0,0.0,0.0
after_task2,0.16197916666666667,0.9280981570751256,1.0,0.0,0.0,0.0,0.0
after_task3,0.029427083333333336,0.876916820409054,0.6944444444444445,0.9983367814693116,0.0,0.0,0.0
after_task4,0.0,0.5659703624352793,0.638888888888889,0.9258447933146728,0.9680365296803654,0.0,0.0
after_task5,0.19661458333333334,0.678440357872602,0.6666666666666666,0.0,0.6529680365296803,1.0,0.0
after_task6,0.0,0.000396754547799,0.0,0.0,0.0,0.9999886144982978,1.0
