,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,284648,1,216,6,28,28,0,0
true_BruteForce,0,1280,0,0,0,0,0,0
true_DoS,53,0,33553,0,0,0,0,0
true_WebAttack,1,0,0,23,0,0,0,0
true_Infiltration,1063,0,0,0,15371,0,0,0
true_Botnet,25,0,0,0,0,48,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,0,0,0,0,0,0,0,0
