model,policy,tag,accepted,reasons,before_macro_f1,before_fpr,before_retention,after_macro_f1,after_fpr,after_retention
gnn_ewc_replay,adwin_gate,adwin_gate_w148,False,false-positive rate rose,0.6421293591026221,1.9313967861557477e-05,1.0,0.6560258365385475,0.00666331891223733,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w155,True,,0.6421293591026221,1.9313967861557477e-05,1.0,0.7432263250022828,1.9313967861557477e-05,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w162,True,,0.7432263250022828,1.9313967861557477e-05,1.0,0.9344032472034857,9.656983930778738e-06,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w173,True,,0.9344032472034857,9.656983930778738e-06,1.0,0.9990258058603935,0.0007629017305315204,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w192,True,,0.9990258058603935,0.0007629017305315204,1.0,0.9999758954892406,0.0,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w242,True,,0.747360009676211,8.807236025118237e-05,1.0,0.9739560820483614,0.0008014584782857595,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w277,True,,0.773796618273369,0.0007068749287424467,1.0,0.8142648604639133,0.0007448789571694599,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w284,True,,0.8142648604639133,0.0007448789571694599,1.0,0.9774004482474222,0.001573366776878349,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w291,True,,0.9774004482474222,0.001573366776878349,1.0,0.9888738543453659,0.0006232660662030175,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w325,True,,0.816123252764247,0.0005666302566903332,1.0,0.9612647346957583,0.0001228836701256144,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w347,True,,0.7423919752500551,0.0001569612305760477,1.0,0.7442390201135466,0.0006343849735781929,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w354,True,,0.7442390201135466,0.0006343849735781929,1.0,0.7693839928906605,0.0009221472296342803,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w367,True,,0.7693839928906605,0.0009221472296342803,1.0,0.9896473325177908,0.0004970438968241511,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w385,True,,0.9896473325177908,0.0004970438968241511,1.0,0.999878065384767,6.540051274001988e-06,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w396,True,,0.8488411080335453,5.0148879485973986e-05,1.0,0.9705205313764327,0.00010656636890769473,1.0
gnn_ewc_replay,adwin_gate,adwin_gate_w418,True,,0.9705205313764327,0.00010656636890769473,1.0,0.9798585663572614,5.641748942172073e-05,1.0
