model,policy,stream_windows,retrains,true_task_boundaries,drift_flags,final_accuracy_seen,final_macro_f1_seen,final_retention_rate,final_fpr_seen,mean_stream_error
gnn_ewc_replay,adwin,1205,24,4,50,0.9999044854881266,0.9431711881257436,1.0,1.5068881531802037e-05,0.002099585062240664
gnn_ewc_replay,periodic,1205,48,4,0,0.9949398416886543,0.8249687567776256,1.0,0.005284712563875314,0.030717088979122797
gnn_ewc_replay,oracle,1205,5,4,0,0.9999746701846965,0.9989896450052544,1.0,1.6185094978602188e-05,0.060105726141078834
gnn_ewc_replay,never,1205,0,4,0,0.9470501319261214,0.15491771779734456,1.0,1.6743201702002264e-06,0.06010207468879667
gnn_naive,adwin,1205,20,4,39,0.9477614775725594,0.28137120313962527,0.0,5.581067234000755e-07,0.001689778882653652
ffnn_ewc_replay,adwin,1205,33,4,63,0.9988263852242744,0.8009088915476451,1.0,0.0012300672183737664,0.0023075740773500024
xgboost_static,never,1205,0,4,0,0.9470517150395779,0.2817986541035015,1.0,0.0,0.060099087136929456
