stream_index,window_id,ts,detector,prev_error,new_error,triggered_retrain,reason,n_detections,model,policy
1027,1644,2018-03-01T18:27:41.561447,ADWIN,0.0013959562300175621,0.001783675799086758,False,refractory period,1,gnn_ewc_replay,adwin
1031,1650,2018-03-01T18:42:28.959660,ADWIN,0.0016589072617327553,0.0008413461538461539,False,error decreased,1,gnn_ewc_replay,adwin
1054,1683,2018-03-01T20:14:16.648573,ADWIN,0.000415631196584897,0.0005159603742432581,True,error increased,1,gnn_ewc_replay,adwin
1061,1693,2018-03-01T20:42:40.210239,ADWIN,0.0012339656211438573,0.0009755463059313215,False,error decreased,1,gnn_ewc_replay,adwin
1095,1741,2018-03-02T14:14:21.355369,ADWIN,8.809486054583576e-05,0.00014713871785584933,True,error increased,1,gnn_ewc_replay,adwin
1102,1751,2018-03-02T14:42:32.113551,ADWIN,0.0037726287339170583,0.004037921348314607,True,error increased,1,gnn_ewc_replay,adwin
1126,1785,2018-03-02T16:09:49.796878,ADWIN,0.00013657587216498365,0.00020064205457463884,True,error increased,1,gnn_ewc_replay,adwin
1132,1794,2018-03-02T16:40:21.310190,ADWIN,0.0008748906386701663,0.001838235294117647,True,error increased,1,gnn_ewc_replay,adwin
1136,1799,2018-03-02T16:57:07.799647,ADWIN,0.0006283775292195551,0.0,False,error decreased,1,gnn_ewc_replay,adwin
1181,1864,2018-03-02T19:53:10.527917,ADWIN,3.1574911477480324e-05,0.00016878858024691357,True,error increased,2,gnn_ewc_replay,adwin
13,197,2018-02-15T13:25:01.053176,ADWIN,5.6340496923182865e-05,0.00703125,True,error increased,2,gnn_naive,adwin
14,198,2018-02-15T13:27:52.163823,ADWIN,0.010684606252473288,0.015224358974358974,False,refractory period,2,gnn_naive,adwin
16,201,2018-02-15T13:37:20.802767,ADWIN,0.0027178016004831647,0.0875,False,refractory period,4,gnn_naive,adwin
19,205,2018-02-15T13:49:01.619726,ADWIN,0.0005623845103237728,0.002136752136752137,True,error increased,5,gnn_naive,adwin
20,207,2018-02-15T13:53:53.370023,ADWIN,0.02149487054225696,0.3625,False,refractory period,2,gnn_naive,adwin
21,208,2018-02-15T13:56:02.625786,ADWIN,0.016286644951140065,0.0625,False,refractory period,4,gnn_naive,adwin
34,227,2018-02-15T14:58:49.520953,ADWIN,0.0002295578715394151,0.06770833333333333,True,error increased,2,gnn_naive,adwin
36,229,2018-02-15T15:04:53.594861,ADWIN,0.003771958185149262,0.006097560975609756,False,refractory period,2,gnn_naive,adwin
40,235,2018-02-15T15:22:01.717726,ADWIN,0.002941330952255896,0.02022058823529412,True,error increased,1,gnn_naive,adwin
42,238,2018-02-15T15:30:42.194109,ADWIN,0.0015245354930919486,0.0,False,error decreased,1,gnn_naive,adwin
181,437,2018-02-16T17:43:24.921728,ADWIN,2.0127001378699593e-05,0.006859756097560976,True,error increased,1,gnn_naive,adwin
182,438,2018-02-16T17:45:30.415800,ADWIN,0.9349112426035503,0.453125,False,error decreased,1,gnn_naive,adwin
294,598,2018-02-20T14:14:31.781558,ADWIN,4.1038670918035066e-05,0.028645833333333332,True,error increased,3,gnn_naive,adwin
295,599,2018-02-20T14:16:42.779716,ADWIN,0.261125413755057,0.24456521739130435,False,error decreased,1,gnn_naive,adwin
304,612,2018-02-20T14:43:32.797628,ADWIN,0.00037785334844746727,0.0546875,True,error increased,1,gnn_naive,adwin
305,613,2018-02-20T14:45:36.887432,ADWIN,0.2828882294757666,0.21354166666666666,False,error decreased,1,gnn_naive,adwin
340,663,2018-02-20T17:14:44.633613,ADWIN,9.145836072320699e-05,0.0002910360884749709,True,error increased,1,gnn_naive,adwin
342,666,2018-02-20T17:24:26.084946,ADWIN,0.001788074321697893,0.0,False,error decreased,1,gnn_naive,adwin
476,858,2018-02-21T18:12:57.221842,ADWIN,2.6982340058431755e-05,0.046875,True,error increased,2,gnn_naive,adwin
477,859,2018-02-21T18:13:56.466778,ADWIN,0.688212927756654,0.4140625,False,error decreased,1,gnn_naive,adwin
835,1370,2018-02-28T14:47:36.782158,ADWIN,4.136557836065977e-05,0.0006893382352941177,True,error increased,3,gnn_naive,adwin
