,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,1791694,1,59,7,0,5,0,6
true_BruteForce,193,2698,0,0,0,0,0,0
true_DoS,899,0,52728,0,0,0,0,0
true_WebAttack,4,0,0,7,0,0,0,0
true_Infiltration,1543,0,1,12,0,0,0,0
true_Botnet,314,0,0,0,0,3923,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,1167,0,0,0,0,3,0,39736
