model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
gnn_ewc_replay,none,4,Botnet,0.9980833115302588,0.8493150684931506,0.9917212854373716,,,0.0178888365626334,0.0007686179266969,0.9408027776819238,0.0,1.0,1.0,0.9998750318428478,0.9996431727618696,6.530205090840657,200.0,3
gnn_ewc_replay,none,5,PortScan,0.997430223366995,0.9999772289965956,0.9997893275832156,,,0.0165585152183969,0.0010333172380492,0.965397201561676,0.0,1.0,1.0,0.9999399191552154,0.9996595468533884,12.661561886469524,380.0,3
gnn_ewc_replay,none,6,DDoS,0.9937367497389978,1.0,0.9958387212818292,,,0.0181950799499948,0.0006603060374938,0.9639065240136084,,1.0,1.0,0.9999182900510928,0.9997191169092544,7.315781831741333,200.0,3
ffnn_ewc_replay,none,0,BruteForce,0.9999879838310431,1.0,1.0,,,0.0099999997764825,1.212809205706995e-05,0.9996716758368792,0.0,1.0,1.0,0.9999879838310431,0.9996716758368792,16.892748196919758,4740.0,3
ffnn_ewc_replay,none,1,DoS,0.9998826989300468,0.9998710547719654,0.9998757858930994,,,0.0131496712565421,0.0001161178056024,0.9996713921075696,0.0,1.0,1.0,0.9999110803497184,0.9997172973092728,26.41682283083598,3390.0,3
ffnn_ewc_replay,none,2,WebAttack,0.999533564402242,0.9583333333333334,0.999408001527738,,,0.0174651766816774,0.0004472767113069,0.8942823071179182,0.0,1.0,1.0,0.9996371116975,0.9997131577547248,8.4725288550059,850.0,3
ffnn_ewc_replay,none,3,Infiltration,0.998888896087489,0.9959028031317188,0.9983574841591358,,,0.0169945877666274,0.0009934280910896,0.909235145253188,0.0,1.0,1.0,0.999105997029603,0.9995140026959188,12.3602344195048,1670.0,3
ffnn_ewc_replay,none,4,Botnet,0.999371675031119,1.0,0.998132913238812,,,0.0219664592295884,0.0003884035793963,0.922333032984907,0.0,1.0,1.0,0.999764483088444,0.9997453282661214,7.235093037287394,980.0,3
ffnn_ewc_replay,none,5,PortScan,0.9926518186897804,0.9989980758502124,0.9986285638750504,,,0.0197702953591942,0.0004517409732281,0.9153052729195308,0.0,1.0,1.0,0.9997620798546526,0.999744722287541,18.584166208903,1820.0,3
ffnn_ewc_replay,none,6,DDoS,0.9914717957586356,1.0,0.9990828334289388,,,0.0224507960180441,0.000434887551264,0.9282613093843052,,1.0,1.0,0.99974045075053,0.9997392625561432,8.385950088500977,970.0,3
