,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.13888888888888887,0.0,0.0,0.0,0.0
after_task1,1.0,0.9987204665833481,1.0,0.0,0.0,0.0,1.0
after_task2,0.9049479166666666,0.9765220496339939,1.0,0.0,0.0,0.0,0.5011658167486499
after_task3,0.4393229166666666,0.7225495447241564,0.38888888888888884,0.9749908725812341,0.0,1.0,0.9998044436421619
after_task4,0.0,0.0014580729631613002,0.0,0.0,0.6894977168949771,0.0,0.0
after_task5,0.45390625,0.3295542462655478,0.0,0.9993915054156018,0.1004566210045662,1.0,0.0005565834800006
after_task6,0.75546875,0.8751314249439585,0.6666666666666666,0.5363676929941991,0.0,1.0,1.0
