,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.13888888888888887,0.0,0.0,0.0,0.0
after_task1,1.0,0.9932353349600268,1.0,0.0,0.0,0.0,0.9994283737232427
after_task2,1.0,0.9958836715665852,0.9444444444444445,0.0,0.0,0.0,0.9993682025362155
after_task3,1.0,0.9999603245452201,0.9583333333333334,0.9334915419252768,0.0,0.9999430724914893,0.9971869970064834
after_task4,1.0,0.9970045031641175,0.9722222222222223,0.9351344773031519,0.6666666666666666,0.9999658434948936,0.940550867217233
after_task5,1.0,0.99998016227261,0.9305555555555555,0.9782767433369842,0.9360730593607306,0.9999658434948936,0.9988717902432419
after_task6,1.0,0.9992263286317918,0.9305555555555557,0.9570605654943004,0.9315068493150686,0.9999772289965957,1.0
