,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task1,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task2,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task3,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task4,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task5,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
after_task6,1.0,0.0,0.0,0.0013386880856759997,0.0,0.0,0.0
