model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio
ffnn_ewc_replay,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.791885375976562,4740,10.0
ffnn_ewc_replay,none,1,DoS,0.999925,0.9995601022512204,5.794190358467244e-05,0.999817607003891,1.0,1.0,0.9999285714285714,0.9999820171053294,0.9998120418520144,0.0,20.874940395355225,3390,10.00041389465332
ffnn_ewc_replay,none,2,WebAttack,0.9997692307692309,0.856968541381121,0.0001144940683265,0.9998177067509266,1.0,1.0,0.9998714285714284,0.9999676298582189,1.0,0.0,4.919523239135742,850,12.67841911315918
ffnn_ewc_replay,none,3,Infiltration,0.9995354838709676,0.9191686548752191,0.0002964314217307,0.9987625346703648,1.0,1.0,0.9995571428571428,0.9998884851973092,0.9972771567784464,0.0,9.81821084022522,1670,21.372901916503903
ffnn_ewc_replay,none,4,Botnet,0.999470588235294,0.9289714370461498,0.0003618241398143,0.9985119047619048,1.0,1.0,0.9995857142857144,0.9998956812017524,1.0,0.0,5.998204469680786,980,29.245052337646484
ffnn_ewc_replay,none,5,PortScan,0.9897333333333334,0.9038181284357244,0.0004447234866321,0.9983133789433676,1.0,1.0,0.9994,0.999848903470903,0.9977928509905254,0.0,11.287046432495115,1820,29.248836517333984
ffnn_ewc_replay,none,6,DDoS,0.9892190476190476,0.9141448407413388,0.0004262654756307,0.9985537394749876,1.0,1.0,0.9993714285714286,0.9998417061202168,1.0,,5.644489526748657,970,38.29561233520508
