,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,1604621,0,5,48,1332,0,0,3
true_BruteForce,0,2891,0,0,0,0,0,0
true_DoS,46,0,53581,0,0,0,0,0
true_WebAttack,1,0,0,10,0,0,0,0
true_Infiltration,3,0,0,0,1553,0,0,0
true_Botnet,0,0,0,0,0,0,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,0,0,0,3,0,0,0,40903
