,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9983336308992442,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9797952746533357,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9999107302267453,0.9583333333333334,0.9992698064987222,0.0,0.0,0.0
after_task4,1.0,0.9797357614711658,0.9583333333333334,0.9981136667883655,0.9041095890410958,0.0,0.0
after_task5,1.0,0.9881271201571148,0.9583333333333334,0.9992698064987222,0.9041095890410958,0.9999658434948936,0.0
after_task6,1.0,0.8475569838719277,0.9166666666666666,0.9343434343434344,0.9041095890410958,0.9997950609693617,1.0
