,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,151853,0,12,0,0,1,1038,0
true_BruteForce,230,257,0,0,0,0,0,0
true_DoS,2,0,15942,0,0,0,17,0
true_WebAttack,0,0,0,9,0,0,0,0
true_Infiltration,2,0,0,0,0,0,6976,0
true_Botnet,78,0,0,0,0,7,0,0
true_PortScan,0,0,0,0,0,0,18576,0
true_DDoS,0,0,0,0,0,0,0,0
