,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.5277207392197125,0.9998746945680095,0.0,0.0,0.0,0.0,0.0
after_task2,0.0,0.9755027880458618,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9825825449533238,1.0,0.9995700773860705,0.0,0.0,0.0
after_task4,1.0,0.9825825449533238,0.0,0.9932645457151046,0.0,0.0,0.0
after_task5,0.0,0.9825825449533238,0.0,0.0,0.0,1.0,0.0
after_task6,0.0,0.0001253054319904768,0.0,0.0,0.0,0.9980081826012058,1.0
