held_out_category,model,n_heldout_flows,n_benign_flows,heldout_detection_rate,fpr,binary_f1,mean_confidence_heldout,train_seconds
BruteForce,xgboost_static,1280,137422,0.0,2.183056570272591e-05,0.0,0.9965707659721375,26.678127765655518
BruteForce,ffnn_naive,1280,137422,0.0078125,9.45991180451456e-05,0.015349194167306216,0.9643993377685547,109.13355660438538
BruteForce,gnn_naive,1280,137422,0.0,0.00026924364366695286,0.0,0.8732368350028992,72.91267991065979
DoS,xgboost_static,33606,66394,0.0073498779979765515,3.0123203903967227e-05,0.014591640821149018,0.9862051606178284,28.607434034347534
DoS,ffnn_naive,33606,66394,0.029726834493840386,6.0246407807934454e-05,0.05773064809731573,0.9695822596549988,123.97315311431885
DoS,gnn_naive,33606,66394,0.6768136642266261,0.019625267343434647,0.789017240781212,0.991787850856781,83.0821304321289
WebAttack,xgboost_static,24,24976,0.0,0.0006005765534913517,0.0,0.9998946785926819,36.90757989883423
WebAttack,ffnn_naive,24,24976,0.0,8.007687379884689e-05,0.0,0.9996841549873352,149.98337173461914
WebAttack,gnn_naive,24,24976,0.5416666666666666,0.0004404228058936579,0.5416666666666666,0.7883989810943604,100.21985960006714
Infiltration,xgboost_static,16434,28566,0.26858950955336497,0.0008051529790660225,0.42297925350965454,0.9243828058242798,31.390121936798096
Infiltration,ffnn_naive,16434,28566,0.49324571011317997,0.000980186235384723,0.6598827743406057,0.999088704586029,141.47438383102417
Infiltration,gnn_naive,16434,28566,0.6773153218936352,0.0010151928866484632,0.8067695875915054,0.93375563621521,94.56190419197083
Botnet,xgboost_static,73,27569,0.0,0.0,0.0,0.9805088043212891,36.6164767742157
Botnet,ffnn_naive,73,27569,0.0,0.0008342703761471217,0.0,1.0,149.41879725456238
Botnet,gnn_naive,73,27569,0.0,0.0,0.0,0.9999997615814209,100.31174778938293
PortScan,xgboost_static,29277,25723,0.9884551012740377,0.0,0.9941940360038477,0.94304358959198,32.80553340911865
PortScan,ffnn_naive,29277,25723,0.9879769102025481,0.0031878085759825836,0.9925537025598792,0.9931929111480713,139.58369159698486
PortScan,gnn_naive,29277,25723,1.0,0.0014772771449675388,0.9993514472965592,0.9999972581863403,92.7413432598114
DDoS,xgboost_static,22159,2841,0.9918317613610722,0.0,0.9958991322473209,0.9749490022659302,36.10504770278931
DDoS,ffnn_naive,22159,2841,0.9899363689697188,0.00035198873636043646,0.9949201741654572,0.9881665110588074,148.90862584114075
DDoS,gnn_naive,22159,2841,1.0,0.0007039774727208729,0.9999548736462094,0.9997304677963257,102.19119882583618
