,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.7265625,0.9997321906802357,0.0,0.0,0.0,0.0,0.0
after_task2,0.4859375,0.9979170386240552,1.0,0.0,0.0,0.0,0.0
after_task3,0.0,0.9720288043801703,1.0,0.9993915054156018,0.0,0.0,0.0
after_task4,0.0,0.8685651371778849,0.9583333333333334,0.9993915054156018,1.0,0.0,0.0
after_task5,0.0,0.7335594834255788,0.9583333333333334,0.0,0.7397260273972602,1.0,0.0
after_task6,0.0,0.0,0.0,0.0,0.0,0.9999658434948936,1.0
