,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998214604534904,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9993155984050467,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9994048681783015,0.9583333333333334,0.9971400754533285,0.0,0.0,0.0
after_task4,1.0,0.9991370588585372,0.9166666666666666,0.9951320433248144,1.0,0.0,0.0
after_task5,1.0,0.999226328631792,0.9166666666666666,0.835828161129366,1.0,0.9989069918365953,0.0
after_task6,1.0,0.9994048681783015,0.9166666666666666,0.9092734574662286,1.0,0.942343819380401,1.0
