,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9995536511337261,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9994643813604713,0.9583333333333334,0.0,0.0,0.0,0.0
after_task3,1.0,0.999226328631792,0.9166666666666666,0.998661311914324,0.0,0.0,0.0
after_task4,0.99921875,0.9994048681783015,0.9166666666666666,0.9989655592065231,1.0,0.0,0.0
after_task5,0.99921875,0.9992560852228769,0.9166666666666666,0.8989290495314591,1.0,0.9725723263995628,0.0
after_task6,1.0,0.9989882759031126,0.9166666666666666,0.9043446513326031,1.0,0.9696007104553062,1.0
