model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
xgboost_static,none,0,BruteForce,1.0,1.0,1.0,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.76573133468628,1.0,1
xgboost_static,none,1,DoS,0.9042375,0.0,0.0511518454297745,,,,0.0,0.523381001540091,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
xgboost_static,none,2,DDoS,0.9090990384615384,0.0,0.0296731945641909,,,,0.0,0.5049412437355194,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
xgboost_static,none,3,WebAttack,0.9278290076335878,0.0,0.0296710627597885,,,,0.0,0.5100549024482355,0.0006426735218508,1.0,1.0,1.0,1.0,0.0,0.0,1
xgboost_static,none,4,Infiltration,0.9436369501466276,0.0006426735218508,0.0292147771009485,,,,0.0,0.5138607729001485,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
xgboost_static,none,5,Botnet,0.9470522427440632,0.0,0.0280156546673383,,,,0.0,0.5136339170346793,,1.0,1.0,1.0,1.0,0.0,0.0,1
gnn_naive,none,0,BruteForce,1.0,1.0,1.0,,,,0.0,1.0,0.9856229138307196,1.0,1.0,1.0,1.0,43.616129636764526,1250.0,1
gnn_naive,none,1,DoS,0.9998142857142858,0.9983030935909152,0.9983898934852612,,,,2.5820188209310363e-05,0.9994880155293824,0.5465946315943871,1.0,1.0,0.9999885714285714,0.9998242041143648,91.15468215942384,2690.0,1
gnn_naive,none,2,DDoS,0.9995971153846154,1.0,0.9971055548712896,,,,0.0001453469867553,0.998812922860664,0.0,1.0,1.0,1.0,1.0,112.07359504699708,3380.0,1
gnn_naive,none,3,WebAttack,0.9909206106870228,1.0,0.8782059834761636,,,,2.22668475504406e-05,0.96506773330202,0.0,0.0,0.0,0.9834742857142856,0.495834149601853,58.7199296951294,1890.0,1
gnn_naive,none,4,Infiltration,0.9374768328445748,0.99293059125964,0.0161832893899445,,,,0.0057365805546544,0.4984384979947668,0.0,0.0,0.0,0.9477714285714286,0.4865927360206536,87.33628463745117,2760.0,1
gnn_naive,none,5,Botnet,0.947978364116095,1.0,0.0450168558918123,,,,0.0,0.5296912084787178,,0.0,0.0,0.98348,0.495835602073124,42.02999806404114,1330.0,1
gnn_ewc_replay,none,0,BruteForce,1.0,1.0,1.0,0.9,10.0,0.0099999997764825,0.0,1.0,0.9856229138307196,1.0,1.0,1.0,1.0,42.046979904174805,1250.0,1
gnn_ewc_replay,none,1,DoS,0.9998089285714286,0.998228504298208,0.9983191195725256,0.9,10.0,0.0107820760458707,2.3834019885517257e-05,0.9994732260446636,0.1506624944995844,1.0,1.0,1.0,1.0,243.0349404811859,2690.0,1
gnn_ewc_replay,none,2,DDoS,0.9999653846153846,1.0,0.9999692080305456,0.9,10.0,0.0128426691517233,3.501058805056802e-05,0.999898089817479,0.0,1.0,1.0,1.0,1.0,328.2641794681549,3380.0,1
gnn_ewc_replay,none,3,WebAttack,0.9997114503816794,1.0,0.999066044029353,0.9,10.0,0.021558403968811,0.0002366883424806,0.998953156901522,0.0,1.0,1.0,0.9999714285714286,0.999560734290436,189.9667649269104,1890.0,1
gnn_ewc_replay,none,4,Infiltration,0.994483284457478,0.9922879177377892,0.9998686749300442,0.9,10.0,0.0212264750152826,0.0058486596276857,0.9758513791727316,0.0,1.0,1.0,0.9642914285714286,0.731050971504428,265.18749237060547,2760.0,1
gnn_ewc_replay,none,5,Botnet,0.994954617414248,0.9995279679018172,0.99986437788197,0.9,10.0,0.0242779217660427,0.0053282448883005,0.9765293555805517,,1.0,1.0,0.9642685714285716,0.7309650786206017,132.6368100643158,1330.0,1
ffnn_ewc_replay,none,0,BruteForce,1.0,1.0,1.0,0.9,10.0,0.0099999997764825,0.0,1.0,0.0,1.0,1.0,1.0,1.0,67.35476040840149,6070.0,1
ffnn_ewc_replay,none,1,DoS,0.9999821428571428,0.9998135267682324,0.9998230652181606,0.9,10.0,0.0109499366953969,0.0,0.9999507970194552,0.0,1.0,1.0,1.0,1.0,295.46594190597534,13140.0,1
ffnn_ewc_replay,none,2,DDoS,0.999978846153846,1.0,0.9997844562138194,0.9,10.0,0.0198549441993236,1.0609269106232734e-06,0.9999377072250808,0.8571428571428571,1.0,1.0,1.0,1.0,314.41127586364746,16480.0,1
ffnn_ewc_replay,none,3,WebAttack,0.9999526717557252,1.0,0.9994868373787652,0.9,10.0,0.0187441688030958,9.89637668908471e-06,0.999828105940805,0.0006426735218508,1.0,1.0,0.9999942857142856,0.9999120871132152,186.36954164505005,9240.0,1
ffnn_ewc_replay,none,4,Infiltration,0.9989923753665688,0.9980719794344473,0.999444393934802,0.9,10.0,0.0171936489641666,0.0010354861025062,0.995428610092312,0.0009440641963653,1.0,1.0,0.9995428571428572,0.9930601578688374,274.0976667404175,13460.0,1
ffnn_ewc_replay,none,5,Botnet,0.9990538258575198,1.0,0.999486573410315,0.9,10.0,0.0190121959894895,0.0009711056987161,0.9954425758358174,,1.0,1.0,0.9995942857142858,0.9938315807300292,135.81314325332642,6460.0,1
