,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,103539,1,12,0,0,0,0,0
true_BruteForce,0,487,0,0,0,0,0,0
true_DoS,5,0,15956,0,0,0,0,0
true_WebAttack,0,0,0,0,0,0,0,0
true_Infiltration,0,0,0,0,0,0,0,0
true_Botnet,0,0,0,0,0,0,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,0,0,0,0,0,0,0,0
