,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9997493891360191,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9997493891360191,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9991228619760667,1.0,0.9972771567784465,0.0,0.0,0.0
after_task4,1.0,0.9986842929641,1.0,0.996847234164517,1.0,0.0,0.0
after_task5,1.0,0.9994987782720381,1.0,0.7357408999713385,1.0,0.9997308354866494,0.0
after_task6,1.0,0.9981830712361381,1.0,0.9644597305818287,1.0,0.8870585701981051,1.0
