,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,257147,2,146,6,57,0,0,0
true_BruteForce,0,1280,0,0,0,0,0,0
true_DoS,4,0,33602,0,0,0,0,0
true_WebAttack,1,0,0,23,0,0,0,0
true_Infiltration,0,0,0,0,16434,0,0,0
true_Botnet,0,0,0,0,0,0,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,0,0,0,0,0,0,0,0
