,pred_Benign,pred_BruteForce,pred_DoS,pred_WebAttack,pred_Infiltration,pred_Botnet,pred_PortScan,pred_DDoS
true_Benign,131526,0,3,8,28,0,0,0
true_BruteForce,0,487,0,0,0,0,0,0
true_DoS,10,0,15947,4,0,0,0,0
true_WebAttack,0,0,0,9,0,0,0,0
true_Infiltration,19,0,0,0,6959,0,0,0
true_Botnet,0,0,0,0,0,0,0,0
true_PortScan,0,0,0,0,0,0,0,0
true_DDoS,0,0,0,0,0,0,0,0
