,task0_BruteForce,task1_DoS,task2_DDoS,task3_WebAttack,task4_Infiltration,task5_Botnet
after_task0,1.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.0,0.9993286963656368,0.0,0.0,0.0,0.0
after_task2,0.0,0.0003542991403584,1.0,0.8571428571428571,0.0012853470437017,0.0
after_task3,0.0,0.0,0.0009045127854104,1.0,0.0,0.0
after_task4,0.0,0.0,0.0,0.0,0.9987146529562982,0.0
after_task5,0.0,0.0,0.0,0.0,0.0224935732647814,1.0
