model,ip_mode,after_task,task_category,accuracy_seen,macro_f1_seen,fpr_seen,detection_rate_seen,retention_rate,retention_normalised,task0_accuracy,task0_macro_f1,current_task_recall,next_task_recall_before_training,train_seconds,train_steps,ewc_stability_ratio,ewc_lambda,ewc_gamma
gnn_ewc,none,0,BruteForce,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,41.29346561431885,970,0.0010000000474974513,1.0,1.0
gnn_ewc,none,1,DoS,0.9959333333333333,0.6616460301123087,9.656983930778738e-06,1.0,0.0,0.0,0.9930428571428571,0.5,1.0,0.0,44.49908399581909,700,0.001389387878589332,1.0,1.0
gnn_ewc,none,2,WebAttack,0.8990153846153847,0.33683560763540404,0.000184951956527483,0.9983593607583399,0.0,0.0,0.9929,0.4999640329170743,1.0,0.0,11.42371129989624,180,0.0014188579516485333,1.0,1.0
gnn_ewc,none,3,Infiltration,0.907858064516129,0.4362669484453921,0.00010641127959563714,0.6038404096436953,0.0,0.0,0.9929,0.4991382158194849,0.999140154772141,0.0,21.398590564727783,340,0.0017995062517002225,1.0,1.0
gnn_ewc,none,4,Botnet,0.8620823529411765,0.31050635216632877,5.4614964500273074e-05,0.003486394557823129,0.0,0.0,0.993,0.49824385348720523,0.9647058823529412,0.0,12.354728937149048,200,0.0018153758719563484,1.0,1.0
gnn_ewc,none,5,PortScan,0.8751794871794871,0.39177062121079637,0.005892586197875791,0.6159967692892436,0.0,0.0,0.9918,0.49886109693969205,1.0,0.0,24.54912829399109,380,0.0018153758719563484,1.0,1.0
gnn_ewc,none,6,DDoS,0.8878333333333334,0.3084263712666402,6.895470929321423e-05,0.8438038632986627,0.0,0.0,0.9930428571428571,0.4982546429365005,1.0,,13.060587167739868,200,0.0018153758719563484,1.0,1.0
