,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998746945680095,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9998746945680095,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9998746945680095,1.0,0.999713384924047,0.0,0.0,0.0
after_task4,1.0,0.9998746945680095,1.0,0.9995700773860705,0.0,0.0,0.0
after_task5,1.0,0.9998746945680095,1.0,0.9995700773860705,0.0,0.998546511627907,0.0
after_task6,1.0,0.9998746945680095,1.0,0.5643450845514474,0.0,0.9987080103359173,1.0
