,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9999107302267453,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9993751115872166,0.9583333333333334,0.0,0.0,0.0,0.0
after_task3,1.0,0.9995238945426412,0.9583333333333334,0.9967749787026895,0.0,0.0,0.0
after_task4,1.0,0.9992560852228769,0.9583333333333334,0.9964707314104905,1.0,0.0,0.0
after_task5,1.0,0.9994346247693864,0.9583333333333334,0.837166849215042,1.0,0.998804522321276,0.0
after_task6,1.0,0.9994346247693864,0.9583333333333334,0.9184617256906413,1.0,0.9221573248625201,1.0
