,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,0.49453125,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.0,0.9505147890257692,0.0,0.0,0.0,0.0,0.0
after_task2,0.00078125,0.9403380348747248,0.75,0.0,0.0,0.0,0.0
after_task3,0.0,0.9504552758435993,0.0,0.9735913350371181,0.0,0.0,0.0
after_task4,0.0,0.950187466523835,0.0,0.6767676767676768,1.0,0.0,0.0
after_task5,0.0,0.950574302207939,0.0,0.47067056103200683,1.0,0.0,0.0
after_task6,0.0,0.9520918883532703,0.0,0.4709139588657661,1.0,0.0,0.0
