model,ip_mode,after_task,after_task_category,scope,metric,value
gnn_ewc_replay,random_src,0,BruteForce,task1,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n,25000.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n_benign,24976.0
gnn_ewc_replay,random_src,0,BruteForce,task2,n_attack,24.0
gnn_ewc_replay,random_src,0,BruteForce,task2,accuracy,0.99904
gnn_ewc_replay,random_src,0,BruteForce,task2,macro_f1,0.4997598847446774
gnn_ewc_replay,random_src,0,BruteForce,task2,fpr,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task2,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n,45000.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n_benign,28566.0
gnn_ewc_replay,random_src,0,BruteForce,task3,n_attack,16434.0
gnn_ewc_replay,random_src,0,BruteForce,task3,accuracy,0.6348
gnn_ewc_replay,random_src,0,BruteForce,task3,macro_f1,0.3883043797406411
gnn_ewc_replay,random_src,0,BruteForce,task3,fpr,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task3,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n,27642.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n_benign,27569.0
gnn_ewc_replay,random_src,0,BruteForce,task4,n_attack,73.0
gnn_ewc_replay,random_src,0,BruteForce,task4,accuracy,0.9971058534114753
gnn_ewc_replay,random_src,0,BruteForce,task4,macro_f1,0.4992754148250127
gnn_ewc_replay,random_src,0,BruteForce,task4,fpr,0.000253908375349124
gnn_ewc_replay,random_src,0,BruteForce,task4,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task4,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n,55000.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n_benign,25723.0
gnn_ewc_replay,random_src,0,BruteForce,task5,n_attack,29277.0
gnn_ewc_replay,random_src,0,BruteForce,task5,accuracy,0.46765454545454543
gnn_ewc_replay,random_src,0,BruteForce,task5,macro_f1,0.3186407502384757
gnn_ewc_replay,random_src,0,BruteForce,task5,fpr,7.775142868250205e-05
gnn_ewc_replay,random_src,0,BruteForce,task5,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task5,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,task6,n,25000.0
gnn_ewc_replay,random_src,0,BruteForce,task6,n_benign,2841.0
gnn_ewc_replay,random_src,0,BruteForce,task6,n_attack,22159.0
gnn_ewc_replay,random_src,0,BruteForce,task6,accuracy,0.1136
gnn_ewc_replay,random_src,0,BruteForce,task6,macro_f1,0.10201149425287356
gnn_ewc_replay,random_src,0,BruteForce,task6,fpr,0.00035198873636043646
gnn_ewc_replay,random_src,0,BruteForce,task6,detection_rate,0.0
gnn_ewc_replay,random_src,0,BruteForce,task6,binary_f1,0.0
gnn_ewc_replay,random_src,0,BruteForce,task6,category_recall,0.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n,138702.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n_benign,137422.0
gnn_ewc_replay,random_src,0,BruteForce,seen,n_attack,1280.0
gnn_ewc_replay,random_src,0,BruteForce,seen,accuracy,0.9952632261971709
gnn_ewc_replay,random_src,0,BruteForce,seen,macro_f1,0.827980707192612
gnn_ewc_replay,random_src,0,BruteForce,seen,fpr,7.27685523424197e-05
gnn_ewc_replay,random_src,0,BruteForce,seen,detection_rate,0.49453125
gnn_ewc_replay,random_src,0,BruteForce,seen,binary_f1,0.6583463338533542
gnn_ewc_replay,random_src,0,BruteForce,all,n,416344.0
gnn_ewc_replay,random_src,0,BruteForce,all,n_benign,313491.0
gnn_ewc_replay,random_src,0,BruteForce,all,n_attack,102853.0
gnn_ewc_replay,random_src,0,BruteForce,all,accuracy,0.7544170205407067
gnn_ewc_replay,random_src,0,BruteForce,all,macro_f1,0.18904430812396017
gnn_ewc_replay,random_src,0,BruteForce,all,fpr,8.6126874455726e-05
gnn_ewc_replay,random_src,0,BruteForce,all,detection_rate,0.006154414552808377
gnn_ewc_replay,random_src,0,BruteForce,all,binary_f1,0.012230347879010365
gnn_ewc_replay,none,1,DoS,task0,n,138702.0
gnn_ewc_replay,none,1,DoS,task0,n_benign,137422.0
gnn_ewc_replay,none,1,DoS,task0,n_attack,1280.0
gnn_ewc_replay,none,1,DoS,task0,accuracy,0.9999927902986259
gnn_ewc_replay,none,1,DoS,task0,macro_f1,0.999802944543727
gnn_ewc_replay,none,1,DoS,task0,fpr,7.27685523424197e-06
gnn_ewc_replay,none,1,DoS,task0,detection_rate,1.0
gnn_ewc_replay,none,1,DoS,task0,binary_f1,0.9996095275283092
gnn_ewc_replay,none,1,DoS,task0,category_recall,1.0
gnn_ewc_replay,none,1,DoS,task1,n,100000.0
