,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9996867364200238,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9994361255560429,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9983083766681285,1.0,0.9972771567784465,0.0,0.0,0.0
after_task4,1.0,0.9986842929641,1.0,0.9967039266265405,1.0,0.0,0.0
after_task5,1.0,0.9988095983960905,1.0,0.7404700487245629,1.0,0.9939168819982773,0.0
after_task6,1.0,0.9982457239521333,1.0,0.9570077386070507,1.0,0.897555986218777,1.0
