,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
after_task1,1.0,0.9999107302267453,1.0,0.0,0.0,0.0,1.0
after_task2,1.0,0.999970243408915,0.9583333333333334,0.0,0.0,0.0,0.9998646148291891
after_task3,1.0,1.0,0.9583333333333334,0.9353778751369113,0.0,0.9999658434948936,1.0
after_task4,1.0,0.9935428197345713,1.0,0.9356212729706705,0.6575342465753424,0.9999658434948936,1.0
after_task5,1.0,0.999970243408915,0.9166666666666666,0.9991481075818425,0.9041095890410958,0.9999658434948936,1.0
after_task6,1.0,0.9976789858953758,0.875,0.9356821224291104,0.9041095890410958,0.9999658434948936,1.0
