,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0003650967506389193,0.0,0.0,0.0
after_task1,1.0,0.9992858418139617,0.0,0.0004259462090787392,0.0,0.00017078252553198758,0.9913353490680987
after_task2,1.0,0.9998512170445754,1.0,0.0009735913350371182,0.0,0.0018102947706390682,0.9597454758788754
after_task3,1.0,0.999613164315896,0.9583333333333334,0.9976877205792869,0.0,0.9944666461727636,0.9777065752064624
after_task4,1.0,0.999613164315896,0.9583333333333334,0.9973226238286479,1.0,0.9937493595655292,0.9926892007762083
after_task5,1.0,0.9990180324941975,0.9583333333333334,0.9964098819520506,1.0,0.9990436178570209,0.9889886727740421
after_task6,1.0,0.9992858418139617,0.9166666666666666,0.9961056346598516,1.0,0.9991802438774464,1.0
