,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998746945680095,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9996240837040286,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9994987782720381,1.0,0.9972771567784465,0.0,0.0,0.0
after_task4,1.0,0.9991855146920618,1.0,0.9972771567784465,1.0,0.0,0.0
after_task5,1.0,0.9991855146920618,1.0,0.7354542848953854,1.0,0.999031007751938,0.0
after_task6,1.0,0.9992481674080571,1.0,0.7423330467182574,1.0,0.9790051679586563,1.0
