model,policy,stream_windows,retrains,true_task_boundaries,drift_flags,final_accuracy_seen,final_macro_f1_seen,final_retention_rate,final_fpr_seen,mean_stream_error
gnn_ewc_replay,adwin,200,16,5,46,0.9996157023999385,0.9488809902540125,1.0,0.000255190739128077,0.087472
gnn_ewc_replay,periodic,200,8,5,0,0.9946702726591472,0.9667222337291459,1.0,0.00059650835271188,0.256447
gnn_ewc_replay,oracle,200,6,5,0,0.987587187518014,0.9519749445435113,1.0,0.0008102305967316446,0.34707990510295433
gnn_ewc_replay,never,200,0,5,0,0.7560166593009626,0.23218189478125126,1.0,2.5519073912807706e-05,0.346978
gnn_naive,adwin,200,14,5,35,0.87462530983994,0.3009927777747512,0.0,0.0024689704010641455,0.029576
ffnn_ewc_replay,adwin,200,18,5,42,0.9931955306189113,0.9301813714644385,1.0,0.00041149506684402424,0.03959306764396632
xgboost_static,never,200,0,5,0,0.7560142574409623,0.23107879426156674,1.0,2.870895815190867e-05,0.34696
