,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9998809736356603,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9995536511337261,0.9166666666666666,0.0,0.0,0.0,0.0
after_task3,1.0,0.9994048681783015,0.9166666666666666,0.9937933552391384,0.0,0.0,0.0
after_task4,1.0,0.9991370588585372,0.9166666666666666,0.9953754411585737,1.0,0.0,0.0
after_task5,1.0,0.9997917038624056,0.9166666666666666,0.836497505172204,1.0,0.9992827133927656,0.0
after_task6,1.0,0.9997619472713206,0.9166666666666666,0.9170013386880856,1.0,0.9306964511391195,1.0
