,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,1.0,0.9963101827054692,0.0,0.0,0.0,0.0,0.0
after_task2,1.0,0.9999107302267453,1.0,0.0,0.0,0.0,0.0
after_task3,1.0,0.9998809736356603,0.9583333333333334,1.0,0.0,0.0,0.0
after_task4,1.0,0.9963399392965542,0.9583333333333334,0.9995740537909212,0.9041095890410958,0.0,0.0
after_task5,1.0,0.9998809736356603,0.9583333333333334,0.9996349032493611,0.9863013698630136,0.9999658434948936,0.0
after_task6,1.0,0.87252276379218,0.9583333333333334,0.9992698064987222,0.6712328767123288,0.9998633739795744,1.0
