,task0_BruteForce,task1_DoS,task2_WebAttack,task3_Infiltration,task4_Botnet,task5_PortScan,task6_DDoS
after_task0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
after_task1,0.2765625,0.9993155984050467,0.0,0.0,0.0,0.0,0.0
after_task2,0.0,0.9650955186573826,1.0,0.0,0.0,0.0,0.0
after_task3,0.08828125,0.9859846455990002,0.9583333333333334,0.9993915054156018,0.0,0.0,0.0
after_task4,0.0,0.2802475748378266,0.0,0.7789339174881343,1.0,0.0,0.0
after_task5,0.2765625,0.6306909480449919,0.08333333333333333,0.0,0.4794520547945205,1.0,0.0
after_task6,0.0,0.0,0.0,0.0,0.0,1.0,1.0
